City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
khonsa,55,IN,1619395934,39,27.0167,95.5667,68.56,3.87
holetown,20,BB,1619395934,61,13.1867,-59.6381,78.8,14.97
inongo,63,CD,1619395934,96,-1.95,18.2667,71.62,6.69
vardo,41,NO,1619395935,68,70.3705,31.1107,31.86,6.55
trincomalee,47,LK,1619395935,74,8.5711,81.2335,79.52,7.7
florianopolis,75,BR,1619395936,78,-27.6146,-48.5012,71.6,9.22
eldama ravine,98,KE,1619395936,89,0.0516,35.7308,55.18,2.01
nichinan,75,JP,1619395937,36,31.6,131.3667,62.6,17.27
rio grande,13,BR,1619395937,78,-32.035,-52.0986,62.01,1.99
ploemeur,0,FR,1619395938,66,47.7333,-3.4333,50.0,19.57
ipora,99,BR,1619395938,57,-16.4419,-51.1178,70.25,1.52
muroto,0,JP,1619395939,28,33.2833,134.15,57.2,5.75
juneau,20,US,1619395713,27,58.3019,-134.4197,60.8,10.36
saint-augustin,66,CA,1619395940,71,51.226,-58.6502,39.81,5.12
armavir,20,AM,1619395940,51,40.1545,44.0382,62.6,4.61
kampong chhnang,58,KH,1619395941,74,12.1667,104.55,81.52,1.23
dingle,20,IE,1619395941,67,52.1408,-10.2689,47.66,4.92
bathsheba,20,BB,1619395873,61,13.2167,-59.5167,78.8,14.97
acajutla,20,SV,1619395881,45,13.5928,-89.8275,89.6,4.61
tatarsk,100,RU,1619395942,53,55.219,75.9828,42.1,11.63
pontianak,20,ID,1619395943,94,-0.0333,109.3333,77.0,3.2
khatanga,60,RU,1619395943,94,71.9667,102.5,7.99,11.18
humaita,80,BR,1619395943,82,-7.5061,-63.0208,79.18,2.15
pangai,40,TO,1619395944,78,-19.8,-174.35,82.4,11.5
kelowna,1,CA,1619395650,44,49.8831,-119.4857,55.99,6.91
abu dhabi,0,AE,1619395944,50,24.4667,54.3667,84.2,1.14
pandan,100,PH,1619395945,68,14.0453,124.1694,79.36,8.12
barabinsk,99,RU,1619395975,61,55.3571,78.357,40.44,9.22
dunedin,67,NZ,1619395976,41,-45.8742,170.5036,57.0,13
walvis bay,12,NA,1619395977,92,-22.9575,14.5053,61.0,1.01
jieshi,100,CN,1619395977,74,22.8134,115.8257,71.17,17.9
tessalit,1,ML,1619395978,7,20.1986,1.0114,87.51,8.03
pacific grove,100,US,1619395978,79,36.6177,-121.9166,55.99,9.26
san quintin,67,MX,1619395978,65,30.4833,-115.95,62.2,13.87
provideniya,0,RU,1619395836,65,64.3833,-173.3,39.2,4.47
fountain,1,US,1619395979,7,38.6822,-104.7008,78.01,25.32
tabory,89,RU,1619395980,95,58.5198,64.5495,38.14,5.19
bauchi,100,NG,1619395980,52,10.5,10,79.29,3.24
mingaora,1,PK,1619395736,35,34.7758,72.3625,62.1,7.49
beringovskiy,96,RU,1619395981,90,63.05,179.3167,31.64,1.54
rio do sul,40,BR,1619395981,90,-27.2142,-49.6431,69.01,1.68
sulangan,17,PH,1619395982,75,11.1373,123.7228,81.63,12.48
east london,98,ZA,1619395857,59,-33.0153,27.9116,67.62,9.31
panzhihua,9,CN,1619395982,56,26.5851,101.7128,65.26,4.5
ahipara,52,NZ,1619395983,72,-35.1667,173.1667,63.25,8.48
rongcheng,100,CN,1619395983,94,30.634,117.8517,60.26,1.32
itaituba,100,BR,1619395984,96,-4.2761,-55.9836,75.27,1.88
barcelos,95,BR,1619395984,96,-0.9747,-62.9242,75.87,1.48
lavrentiya,85,RU,1619395802,89,65.5833,-171,31.73,1.25
smolensk,12,RU,1619395985,86,55,33,29.53,6.33
lefka,75,CY,1619395986,63,35.1106,32.8506,64.4,8.05
rantauprapat,98,ID,1619395986,95,2.1,99.8333,73.49,1.88
tura,43,RU,1619395986,55,64.2833,100.25,18.64,4.03
belyy yar,97,RU,1619395987,80,53.6039,91.3903,30.2,4.47
masumbwe,100,TZ,1619395987,97,-3.6333,32.1833,63.5,2.35
berdigestyakh,100,RU,1619395988,99,62.0989,126.6992,34.25,5.97
santa cruz de la palma,90,ES,1619395988,68,28.6835,-17.7642,68.0,4.61
nerchinskiy zavod,100,RU,1619395989,27,51.3088,119.61,52.83,10.54
kashmor,0,PK,1619395989,14,28.4333,69.5833,84.65,5.73
novo cruzeiro,80,BR,1619395990,79,-17.4681,-41.8753,69.75,2.15
colares,49,PT,1619395990,87,38.7992,-9.4469,62.01,10.36
luwingu,95,ZM,1619395991,94,-10.2621,29.9271,59.94,4.92
bonfim,97,BR,1619395991,76,3.0833,-59.95,79.83,3.33
skelleftea,90,SE,1619395992,51,64.7507,20.9528,33.8,12.66
ponta do sol,40,CV,1619395992,68,17.1994,-25.0919,69.8,17.27
semey,0,KZ,1619395849,55,50.4111,80.2275,33.8,8.95
madurai,20,IN,1619395993,83,9.9333,78.1167,80.6,2.3
cassilandia,53,BR,1619395994,43,-19.1133,-51.7342,69.66,3.33
chicama,38,PE,1619395861,88,-7.8447,-79.1469,64.4,12.66
santa rosa,0,AR,1619395995,68,-36.6167,-64.2833,53.26,6.31
kaspiyskiy,100,RU,1619395995,56,45.3929,47.3707,53.31,15.61
mimongo,67,GA,1619395995,95,-1.6195,11.6068,69.51,1.16
hatsukaichi,40,JP,1619395996,33,34.35,132.3333,57.2,13.8
hurghada,0,EG,1619395997,60,27.2574,33.8129,73.4,1.9
buraydah,40,SA,1619395997,39,26.326,43.975,80.6,12.66
biltine,99,TD,1619395898,21,14.5333,20.9167,86.54,4.92
vila franca do campo,40,PT,1619395998,77,37.7167,-25.4333,59.0,10.36
westport,16,IE,1619396029,67,53.8,-9.5167,48.0,4.25
lixourion,12,GR,1619396029,58,38.2019,20.4314,55.0,7.83
middelkerke,0,BE,1619396029,70,51.1558,2.8418,42.8,13.8
colac,79,AU,1619396030,99,-38.3333,143.5833,57.0,5.46
biak,89,ID,1619395996,72,-0.9131,122.8766,79.9,5.59
bubaque,46,GW,1619396031,69,11.2833,-15.8333,78.01,20.33
talnakh,91,RU,1619395793,90,69.4865,88.3972,3.9,6.2
bang saphan,40,TH,1619396031,100,11.2126,99.5117,75.2,1.14
roald,90,NO,1619395912,81,62.5833,6.1333,37.4,11.5
kattivakkam,40,IN,1619396032,78,13.2167,80.3167,82.4,4.61
kyra,61,RU,1619396032,55,49.5776,111.9753,43.68,11.77
isla mujeres,1,MX,1619396033,69,21.2311,-86.731,82.4,11.5
lac du bonnet,100,CA,1619395934,88,50.2536,-96.0612,48.99,15.01
shiyan,100,CN,1619396034,90,32.6475,110.7781,56.07,2.19
port macquarie,6,AU,1619396034,66,-31.4333,152.9167,70.0,1.01
katherine,79,AU,1619396034,65,-14.4667,132.2667,82.4,2.3
talcahuano,0,CL,1619395815,94,-36.7167,-73.1167,57.2,11.5
qingyuan,90,CN,1619396035,83,23.7,113.0333,75.0,6.71
sur,30,OM,1619396036,44,22.5667,59.5289,83.35,7.54
komsomolskiy,95,RU,1619396036,87,43.9783,46.6985,52.12,7.76
front royal,1,US,1619396037,51,38.9182,-78.1944,59.0,5.75
pontes e lacerda,100,BR,1619396010,98,-15.2261,-59.3353,67.91,2.98
nador,0,MA,1619396037,94,35.174,-2.9287,60.8,3.2
mustafakemalpasa,40,TR,1619396038,81,40.0353,28.4117,53.01,16.11
kastamonu,100,TR,1619396038,90,41.5,33.6667,45.91,0.43
pokhara,0,NP,1619396039,19,28.2333,83.9833,68.52,7.72
ithaca,20,US,1619396039,65,42.4406,-76.4966,45.0,13.8
dongli,0,CN,1619396040,88,23.5656,116.8194,69.8,5.26
limoncito,40,BO,1619396040,94,-18.0167,-63.4,66.2,9.22
tres arroyos,100,AR,1619395860,74,-38.3739,-60.2798,57.45,5.35
mishima,20,JP,1619396041,26,35.1167,138.9167,53.6,16.11
afua,93,BR,1619396041,95,-0.1567,-50.3867,76.33,4.65
hofn,99,IS,1619396042,76,64.2539,-15.2082,43.92,16.98
necochea,93,AR,1619396042,84,-38.5473,-58.7368,55.99,7.34
wawa,20,CA,1619396043,69,47.9834,-84.7832,30.2,8.05
glendive,1,US,1619396043,44,47.1053,-104.7125,55.4,3.44
wanning,100,CN,1619396044,83,18.8003,110.3967,80.26,6.02
bandarbeyla,85,SO,1619396044,73,9.4942,50.8122,81.82,5.97
hirara,20,JP,1619396045,64,24.8,125.2833,73.4,13.8
mandurah,71,AU,1619396046,94,-32.55,115.7,62.01,4.61
lang son,100,VN,1619396046,96,21.8333,106.7333,71.35,4.14
santa vitoria do palmar,60,BR,1619396046,84,-33.5189,-53.3681,59.45,9.51
pisco,0,PE,1619396047,88,-13.7,-76.2167,64.99,4.61
puerto escondido,40,MX,1619396047,66,15.85,-97.0667,86.0,6.91
manokwari,100,ID,1619396048,77,-0.8667,134.0833,81.16,7.67
smithers,20,CA,1619396049,18,54.7804,-127.1743,57.2,6.91
sanmenxia,85,CN,1619396049,80,34.7747,111.1814,56.43,3.89
rocha,43,UY,1619396050,80,-34.4833,-54.3333,58.3,8.48
wilmington,90,US,1619395841,55,34.2257,-77.9447,66.99,4.61
sioux lookout,75,CA,1619395874,27,50.1001,-91.917,46.4,9.22
taicheng,97,CN,1619396081,61,38.731,113.228,51.3,3.04
marienburg,40,SR,1619396081,83,5.8469,-55.0216,79.0,9.22
grand gaube,94,MU,1619396034,86,-20.0064,57.6608,75.0,5.01
belmonte,20,BR,1619396082,83,-15.8631,-38.8828,77.0,6.91
rapar,0,IN,1619396082,71,23.5667,70.6333,80.83,11.16
araxa,0,BR,1619395874,43,-19.5933,-46.9406,73.4,5.75
kungalv,63,SE,1619396083,68,57.871,11.9805,35.01,4.74
mayumba,21,GA,1619396083,87,-3.432,10.6554,77.77,2.06
haines junction,0,CA,1619396084,19,60.7522,-137.5108,57.2,4.61
hudiksvall,66,SE,1619396084,67,61.729,17.1036,33.37,10.27
bulanash,18,RU,1619396085,82,57.2783,61.9965,36.91,7.05
alofi,48,NU,1619396085,70,-19.0595,-169.9187,86.0,6.91
ingham,100,AU,1619396086,88,-18.65,146.1667,73.04,9.46
ust-nera,89,RU,1619396086,85,64.5667,143.2,17.8,5.61
penzance,75,GB,1619396087,87,50.1186,-5.5371,46.4,21.5
gotsu,0,JP,1619396087,54,35,132.2167,51.8,5.75
mikhaylovka,93,RU,1619396088,55,50.06,43.2379,41.05,2.64
dombarovskiy,100,RU,1619396089,94,50.7587,59.5386,46.53,7.67
ostrovnoy,100,RU,1619395873,98,68.0531,39.5131,32.14,21.21
shaunavon,100,CA,1619396089,75,49.6501,-108.4181,33.8,3.44
guayaramerin,98,BO,1619396090,99,-10.8368,-65.3614,72.45,3.62
axim,100,GH,1619396091,84,4.8699,-2.2405,80.19,6.4
anloga,66,GH,1619396091,81,5.7947,0.8973,83.08,8.41
sidney,64,US,1619396091,100,40.2842,-84.1555,53.01,5.75
aguimes,40,ES,1619396092,77,27.9054,-15.4461,66.0,3.44
luau,92,AO,1619396093,90,-10.7073,22.2247,63.5,2.64
wonosobo,20,ID,1619396093,83,-7.36,109.9025,80.6,6.91
mitha tiwana,1,PK,1619396094,18,32.2486,72.1108,77.16,4.52
santiago del estero,0,AR,1619395830,57,-27.7951,-64.2615,64.4,6.26
mabaruma,91,GY,1619396094,88,8.2,-59.7833,74.89,4.32
nizhnyaya omka,98,RU,1619396095,52,55.4338,74.9426,42.37,11.03
raudeberg,48,NO,1619396095,75,61.9875,5.1352,37.99,8.81
san marco in lamis,0,IT,1619396096,76,41.7131,15.6399,51.8,3.44
kodinsk,98,RU,1619396096,94,58.6881,99.1844,34.34,6.71
yar-sale,100,RU,1619395807,97,66.8333,70.8333,32.81,12.5
prachuap khiri khan,20,TH,1619396097,88,12.2167,99.75,82.0,3.29
san francisco del mar,47,MX,1619396097,70,16.2333,-94.65,86.07,13.62
ziro,7,IN,1619396098,69,27.6333,93.8333,52.14,3.13
pochutla,90,MX,1619396022,65,15.7432,-96.4661,84.99,9.22
kandrian,97,PG,1619396099,69,-6.2167,149.55,84.15,6.85
mosquera,40,CO,1619396099,88,4.7059,-74.2302,59.0,6.91
gayny,99,RU,1619396099,90,60.3071,54.3241,35.78,7.52
los llanos de aridane,90,ES,1619396100,68,28.6585,-17.9182,68.0,4.61
kruisfontein,100,ZA,1619396100,48,-34.0033,24.7314,67.48,6.06
mattoon,1,US,1619396101,41,39.4831,-88.3728,60.01,6.91
constitucion,75,MX,1619396101,8,23.9912,-104.6749,86.0,17.27
puerto del rosario,20,ES,1619396035,73,28.5004,-13.8627,68.0,4.61
marawi,0,SD,1619396102,10,18.4833,31.8167,84.0,11.39
maniitsoq,100,GL,1619396102,77,65.4167,-52.9,40.6,4.68
antalaha,91,MG,1619396103,90,-14.9003,50.2788,71.94,5.88
gambela,99,ET,1619396133,83,8.25,34.5833,74.17,4.99
nueve de julio,6,AR,1619395911,77,-35.4444,-60.8831,57.99,3.65
formosa do rio preto,100,BR,1619396134,97,-11.0483,-45.1931,69.93,3.69
konakovo,99,RU,1619396134,84,56.7,36.7667,32.95,10.71
salisbury,90,CA,1619396135,58,46.0391,-65.0463,54.0,6.91
russell,47,NZ,1619396135,66,-35.2613,174.1236,68.0,10
hokitika,93,NZ,1619396135,81,-42.7167,170.9667,50.56,3.53
nelson bay,20,AU,1619396136,82,-32.7167,152.15,66.99,5.75
coahuayana,40,MX,1619395902,50,18.7333,-103.6833,78.8,11.5
buenos aires,44,CR,1619396137,89,9.1719,-83.3342,75.52,1.86
hamilton,90,BM,1619396137,88,32.2915,-64.778,70.0,20.71
klaksvik,100,FO,1619396138,100,62.2266,-6.589,44.6,14.97
devonport,52,AU,1619396138,73,-41.1667,146.35,61.0,10.69
oyama,20,JP,1619396138,28,36.3,139.8,55.99,13.8
djambala,31,CG,1619396139,85,-2.5447,14.7533,69.8,1.19
qinhuangdao,80,CN,1619396140,27,39.9317,119.5883,59.34,5.44
tsalka,97,GE,1619396140,97,41.5946,44.0891,47.86,4.25
mandeville,20,JM,1619396140,78,18.0417,-77.5071,80.6,9.22
kieta,81,PG,1619396141,63,-6.2167,155.6333,85.57,4.79
rockland,63,US,1619396141,59,41.1668,-74.0496,60.01,10.2
lorengau,72,PG,1619395872,67,-2.0226,147.2712,84.27,3.91
portree,99,GB,1619396142,73,57.4129,-6.1942,45.0,7
suntar,100,RU,1619396142,98,62.1444,117.6319,33.42,5.26
brae,99,GB,1619396143,93,60.3964,-1.353,41.0,4.61
ulladulla,0,AU,1619396143,77,-35.35,150.4667,61.0,9.22
seoul,40,KR,1619396143,27,37.5683,126.9778,62.6,10.36
magura ilvei,96,RO,1619396144,81,47.3833,24.8,35.01,1.99
homer,1,US,1619396145,33,59.6425,-151.5483,55.4,5.75
vao,95,NC,1619396039,69,-22.6667,167.4833,74.44,15.57
general roca,0,AR,1619396145,67,-39.0333,-67.5833,62.6,3.44
vostok,9,RU,1619396060,26,46.4856,135.8833,42.04,6.91
teya,100,RU,1619396146,84,60.3778,92.6267,32.61,5.46
hit,93,IQ,1619396146,16,33.6416,42.8251,85.41,12.77
doka,99,SD,1619396147,41,13.5167,35.7667,86.63,14.94
itarantim,8,BR,1619396147,92,-15.6597,-40.0656,70.41,2.95
sant pere de ribes,100,ES,1619396148,41,41.2667,1.7667,64.99,5.99
baherden,0,TM,1619396148,29,38.4362,57.4316,74.64,5.84
yarada,40,IN,1619396148,94,17.65,83.2667,80.6,2.3
kamenka,23,RU,1619396030,58,51.3223,42.7678,39.0,7.92
sao miguel do araguaia,56,BR,1619396149,68,-13.275,-50.1628,78.53,4.7
tucuman,75,AR,1619395855,72,-26.8241,-65.2226,66.2,6.91
talaya,94,RU,1619396150,71,61.3833,152.75,9.75,1.81
bandiagara,0,ML,1619396150,33,14.3501,-3.6104,87.8,2.3
catamarca,17,AR,1619396150,78,-28.4696,-65.7852,57.0,1.01
mujiayingzi,81,CN,1619396151,51,42.1167,118.7833,55.18,10.69
arona,40,ES,1619396151,72,28.0996,-16.681,66.99,3.44
goundam,29,ML,1619396006,10,16.4145,-3.6708,89.78,6.82
yerofey pavlovich,100,RU,1619396152,41,53.9667,121.9667,49.57,3.44
denpasar,20,ID,1619395896,83,-8.65,115.2167,78.8,2.3
aviles,100,ES,1619396062,100,43.5547,-5.9248,57.99,2.3
port lincoln,3,AU,1619396183,68,-34.7333,135.8667,63.7,7.61
salalah,40,OM,1619395907,74,17.0151,54.0924,82.4,8.05
giyani,0,ZA,1619396183,56,-23.3025,30.7187,62.64,3.2
novokizhinginsk,100,RU,1619396184,96,51.6115,109.5917,32.67,12.24
sangar,100,RU,1619396184,94,63.9242,127.4739,27.0,14.97
san rafael,4,AR,1619396153,54,-34.6177,-68.3301,60.89,6.26
mataram,20,ID,1619396185,83,-8.5833,116.1167,80.6,1.14
gorontalo,91,ID,1619396185,76,0.5412,123.0595,81.63,1.52
obihiro,20,JP,1619396186,44,42.9172,143.2044,37.4,12.66
guamal,68,CO,1619396186,77,9.1433,-74.2238,81.23,5.14
tigil,100,RU,1619395973,86,57.8,158.6667,30.72,2.73
mgandu,35,TZ,1619396187,98,-5.95,34.1333,59.09,5.08
christchurch,38,NZ,1619395988,44,-43.5333,172.6333,63.0,10.36
pokrovsk,100,RU,1619396187,96,61.4781,129.1272,36.19,4.12
tigzirt,19,DZ,1619396188,53,36.8886,4.1198,65.19,10.07
tungor,8,RU,1619395937,50,53.3808,142.9564,30.56,3.27
castano primo,0,IT,1619396188,54,45.5536,8.7754,59.0,1.14
sakakah,0,SA,1619396110,21,29.9697,40.2064,78.8,11.5
emirdag,85,TR,1619396189,94,39.0197,31.15,49.68,2.73
jamsa,90,FI,1619396189,100,61.8642,25.19,32.0,10.36
cavalcante,67,BR,1619396190,80,-13.7975,-47.4583,69.58,0.36
russkaya polyana,60,RU,1619396190,74,53.7794,73.8806,44.15,8.01
nisia floresta,20,BR,1619396191,78,-6.0911,-35.2086,80.6,9.22
bambanglipuro,66,ID,1619396189,80,-7.95,110.2833,77.85,3.49
isangel,75,VU,1619396191,83,-19.55,169.2667,82.4,11.5
filingue,81,NE,1619396192,19,14.3521,3.3168,89.91,0.72
kiri buru,4,IN,1619396192,27,22.0833,85.35,74.73,0.02
dhidhdhoo,13,MV,1619396116,72,6.8833,73.1,83.93,5.88
usinsk,100,RU,1619396193,89,65.9939,57.5281,37.65,7.2
krasnoselkup,21,RU,1619396104,89,65.7,82.4667,18.66,6.06
shirokiy,100,RU,1619396193,39,49.758,129.523,47.44,7.45
dakar,0,SN,1619396011,94,14.6937,-17.4441,68.0,4.61
kungurtug,100,RU,1619396194,84,50.5994,97.5228,24.53,4.76
noumea,40,NC,1619396194,69,-22.2763,166.4572,77.0,13.8
ruteng,98,ID,1619396195,80,-8.6136,120.4721,66.49,1.32
conde,20,BR,1619396021,94,-7.2597,-34.9075,77.0,4.61
molteno,99,ZA,1619396195,37,-31.3968,26.3625,55.18,3.2
vila do maio,75,CV,1619396196,78,15.1333,-23.2167,69.8,17.27
mackay,90,AU,1619396139,73,-21.15,149.2,73.4,13.8
muros,56,ES,1619395930,93,42.7762,-9.0603,57.0,4.83
sarangani,69,PH,1619396196,75,5.4033,125.4636,83.3,11.34
lutkun,84,RU,1619396197,65,41.4808,47.6858,56.89,8.95
cayenne,75,GF,1619396197,83,4.9333,-52.3333,81.0,3.44
saint-joseph,0,RE,1619396198,73,-21.3667,55.6167,77.0,16.11
mitsamiouli,81,KM,1619396198,76,-11.3847,43.2844,80.53,6.67
hensall,47,CA,1619396198,83,43.4334,-81.4998,37.0,18.99
